1,28
2,28
3,28
4,28
5,28
6,28
7,28
8,28
9,29
10,29
11,29
12,29
13,29
14,29
15,30
16,30
17,30
18,30
19,30
20,31
21,31
22,31
23,31
24,32
25,32
26,32
27,33
28,33
29,33
30,33
31,34
32,34
33,34
34,35
35,35
36,36
37,36
38,36
39,37
40,37
41,37
42,38
43,38
44,39
45,38
46,39
47,40
48,40
49,40
50,41
51,41
52,42
53,42
54,43
55,44
56,44
57,44
58,46
59,46
60,47
61,47
62,48
63,48
64,49
65,50
66,50
67,51
68,52
69,52
70,53
71,54
72,55
73,56
74,56
75,57
76,58
77,59
78,60
79,61
80,62
81,62
82,62
83,64
84,65
85,66
86,67
87,68
88,69
89,70
90,70
91,72
92,73
93,74
94,75
95,76
96,78
97,78
98,78
99,80
100,81
101,83
102,84
103,85
104,85
105,87
106,87
107,89
108,90
109,91
110,92
111,93
112,94
113,95
114,95
115,97
116,98
117,99
118,100
119,101
120,102
121,103
122,103
123,105
124,106
125,107
126,108
127,109
128,110
129,111
130,113
131,114
132,114
133,117
134,118
135,119
136,121
137,122
138,124
139,125
140,127
141,128
142,129
143,131
144,133
145,134
146,136
147,137
148,137
149,141
150,143
151,144
152,145
153,148
154,150
155,151
156,153
157,155
158,157
159,158
160,160
161,161
162,163
163,165
164,165
165,168
166,170
167,171
168,173
169,175
170,177
171,178
172,180
173,181
174,183
175,185
176,186
177,188
178,190
179,192
180,192
181,195
182,196
183,198
184,199
185,201
186,202
187,204
188,205
189,206
190,208
191,209
192,210
193,211
194,212
195,213
196,213
197,216
198,217
199,218
200,219
201,220
202,221
203,222
204,223
205,224
206,224
207,225
208,226
209,227
210,228
211,228
212,228
213,230
214,230
215,231
216,232
217,232
218,233
219,233
220,234
221,234
222,235
223,235
224,236
225,236
226,237
227,238
228,238
229,238
230,239
231,239
232,240
233,240
234,241
235,241
236,241
237,241
238,242
239,242
240,242
241,243
242,243
243,243
244,243
245,244
246,244
247,244
248,244
249,244
250,244
251,244
252,245
253,245
254,245
255,245
